true_label,prediction_score
0,0.369792261
0,0.360690672
0,0.327798392
0,0.705904353
0,0.441707843
0,0.485313317
0,0.388646796
0,0.706207599
0,0.447028984
0,0.41674138
0,0.364452835
0,0.759659659
0,0.437539549
0,0.342491889
0,0.637087279
0,0.400682102
0,0.596954253
0,0.31240724
0,0.618007053
0,0.601795186
0,0.371984247
0,0.386380577
0,0.523085513
0,0.838781212
0,0.38175126
0,0.944846232
0,0.706301167
0,0.391827665
0,0.67133701
0,0.319911201
0,0.575491892
0,0.681559257
0,0.465088034
0,0.313024452
0,0.385482143
0,0.596681302
0,0.345401635
0,0.690638087
0,0.505965337
0,0.444829219
0,0.559675457
0,0.476436923
0,0.268728731
0,0.721324517
0,0.623127616
0,0.460600236
0,0.330048106
0,0.617184484
0,0.522053703
0,0.561946371
0,0.601795186
0,0.401798841
0,0.430572839
0,0.956067779
0,0.604700907
0,0.430572839
0,0.701403736
0,0.315854524
0,0.48537513
0,0.477887061
0,0.436867916
0,0.366790087
0,0.442678438
0,0.376370853
0,0.575531201
0,0.705589149
0,0.407518047
0,0.465326288
0,0.59471256
0,0.493725341
0,0.388517117
0,0.404203332
0,0.717257125
0,0.678298982
0,0.780851786
0,0.642189183
0,0.649991234
0,0.44835442
0,0.39904881
0,0.430696958
0,0.445920914
0,0.319332322
0,0.532953621
0,0.383310918
0,0.783844031
0,0.321021523
0,0.495681404
0,0.556928018
0,0.701428726
0,0.475916155
0,0.351093747
0,0.361278625
0,0.493805789
0,0.40937827
0,0.344465339
0,0.301477127
0,0.498480567
0,0.38261015
0,0.375942798
0,0.34610386
1,0.454986686
1,0.713726097
1,0.929531665
1,0.843514423
1,0.730362237
1,0.725573767
1,0.847036722
1,0.719538543
1,0.864370685
1,0.536561323
1,0.744915976
1,0.698452848
1,0.887489275
1,0.658791691
1,0.724420854
1,0.850138995
1,0.716105039
1,0.816574538
1,0.660191559
1,0.771564001
1,0.685311162
1,0.667653923
1,0.605296067
1,0.862341446
1,0.777626257
1,0.809315685
1,0.867500888
1,0.786741248
1,0.744232942
1,0.730889593
1,0.703530008
1,0.783388573
1,0.893129037
1,0.60795799
1,0.845433102
1,0.619766906
1,0.717383826
1,0.663259433
1,0.911248025
1,0.669829909
1,0.830133971
1,0.708833102
1,0.708805037
1,0.877713115
1,0.767264429
1,0.853913764
1,0.687121557
1,0.796708487
1,0.810285478
1,0.67684468
1,0.872862233
1,0.699894971
1,0.732631178
1,0.700726303
1,0.859524171
1,0.692378333
1,0.747705617
1,0.704594027
1,0.950252087
1,0.824761331
1,0.695390122
1,0.857019171
1,0.914571175
1,0.853125352
1,0.810087598
1,0.787131004
1,0.936397206
1,0.684183627
1,0.690357241
1,0.672931555
1,0.958601898
1,0.726377957
1,0.66915925
1,0.660315416
1,0.660079824
1,0.67298699
1,0.732750543
1,0.84570607
1,0.84033872
1,0.851685575
1,0.824563062
1,0.814953614
1,0.812906595
1,0.634819594
1,0.712379557
1,0.857606734
1,0.746968661
1,0.757715474
1,0.735424102
1,0.805955919
1,0.618439743
1,0.490069855
1,0.689961921
1,0.846820546
1,0.79340691
1,0.701476087
1,0.855114523
1,0.823094852
1,0.676751141
1,0.744180633
