algorithm,AUROC,AUROC_low,AUROC_high,AUPRC,AUPRC_low,AUPRC_high
DeePhase,0.890625,0.7273871527777777,1.0,0.8926693404634581,0.7499867724867725,1.0
PSPire,0.8020833333333333,0.6284722222222222,0.9444444444444444,0.7628049406310277,0.5856390274564617,0.9226298024891774
PSPHunter,0.7986111111111112,0.6354166666666667,0.9306423611111099,0.6951930014430016,0.5099238518124388,0.8947311879297168
PICNIC,0.78125,0.59375,0.9375,0.6541386853886854,0.47637497756794234,0.9242428451178452
Molphase,0.7413194444444444,0.576345486111111,0.887196180555555,0.5189796762377408,0.3839770464960627,0.7225732600732601
Fuzdrop,0.5954545454545455,0.37039772727272724,0.8046022727272719,0.5069658876477058,0.34634863242817787,0.7601972188836708
PSAP,0.5902777777777777,0.36979166666666663,0.7951822916666661,0.44800294669839263,0.326481219138512,0.7257425444925444
Phaseek,0.48611111111111116,0.30208333333333337,0.6805555555555556,0.32064513485086577,0.27274495434905655,0.4642509804028266
LLPhyScore,0.36111111111111116,0.14583333333333331,0.6006944444444445,0.37526609924239235,0.2432040707947966,0.601044506435615
