algorithm,AUROC,AUROC_low,AUROC_high,AUPRC,AUPRC_low,AUPRC_high
Molphase,0.9813636363636364,0.9573219696969697,0.9971717171717172,0.9868729830121508,0.9723781705824338,0.9974576850334747
DeePhase,0.9810000000000001,0.9653475,0.9922,0.982038954291156,0.9683725087010506,0.9922362654963498
Fuzdrop,0.9331499999999999,0.8986974999999999,0.96255,0.9407375694422186,0.911381783591061,0.9661025156203615
PSPHunter,0.9162244897959184,0.8729591836734694,0.953265306122449,0.9019050433264562,0.849770080248197,0.9505513694379207
Phaseek,0.9112,0.865095,0.9501000000000001,0.861979656838198,0.7859175979046901,0.9394420385518343
PSPire,0.7413935271078128,0.6669629973201402,0.8098356009070294,0.7931328768413765,0.7315486613830392,0.850308144381407
PICNIC,0.681715110286539,0.6059575345289631,0.7542826221397649,0.7185265425276708,0.6482183842657904,0.7880498027416666
PSAP,0.47935,0.40084875,0.55775,0.4887095528849946,0.4452216001013548,0.5507631520026672
LLPhyScore,0.26290816326530614,0.18734438775510204,0.34189158163265304,0.4930393827910706,0.43146563094924917,0.559863914171187
