true_label,prediction_score
1,0.818097208
0,0.246672771
1,0.837031855
0,0.768670997
1,0.76945617
0,0.251456735
1,0.793385092
0,0.713329785
0,0.726423016
0,0.726925994
0,0.758653519
0,0.727310521
1,0.731253166
0,0.703683081
1,0.838871869
0,0.846264273
0,0.862769705
0,0.861798115
1,0.876190312
0,0.897745553
0,0.894319173
0,0.91705361
1,0.547285161
0,0.559981968
0,0.544106274
1,0.808745626
0,0.948233132
0,0.949063454
0,0.943237415
0,0.945169605
1,0.832519607
0,0.896502632
1,0.769728364
0,0.264153973
1,0.69935124
0,0.702399345
