true_label,prediction_score
1,0.794126276
0,0.689328904
1,0.653285961
0,0.926591628
1,0.618818245
0,0.519890253
1,0.85091945
0,0.662290017
0,0.66421523
0,0.67247319
0,0.693277991
0,0.670832644
1,0.627009611
0,0.379553735
1,0.843841851
0,0.5850133
0,0.610161984
0,0.564308461
1,0.895269396
0,0.418659569
0,0.367545494
0,0.49407455
1,0.691561008
0,0.663168125
0,0.708363866
1,0.869293576
0,0.722848289
0,0.74250329
0,0.714220011
0,0.761806629
1,0.743567318
0,0.4385775
1,0.789364697
0,0.738877372
1,0.78052353
0,0.709415792
