true_label,prediction_score
0,0.01380256
0,0.01380256
0,0.24715951
0,0.17716983
0,0.3825275
0,0.2392933
0,0.4781026
0,0.6996236
0,0.017021935
0,0.39203775
0,0.6036321
0,0.030239303
0,0.074112386
0,0.030239303
0,0.030239303
0,0.01380256
0,0.47895926
0,0.5199262
0,0.030239303
0,0.9954092
0,0.16887161
0,0.114997946
0,0.9954092
0,0.21170971
0,0.030239303
0,0.2000753
0,0.26263925
0,0.030239303
0,0.93959093
0,0.2663076
1,0.3269577
1,0.24911347
1,0.3909275
1,0.35898393
1,0.562205
1,0.4062179
1,0.29451552
1,0.20815936
1,0.16096644
1,0.7005068
1,0.050288927
1,0.12719832
1,0.2914053
1,0.25899184
1,0.63046217
1,0.9326397
1,0.019912068
1,0.8959652
1,0.93188316
1,0.023600366
1,0.04687116
1,0.91559106
1,0.09177076
1,0.70780545
1,0.3987683
1,0.43108457
1,0.053129207
1,0.7081521
1,0.006715127
1,0.012491929
