true_label,prediction_score
0,0.010833333
0,0.0275
0,0.023333333
0,0.024166667
0,0.023333333
0,0.024166667
0,0.024166667
0,0.018333333
0,0.024166667
0,0.020833333
0,0.008333333
0,0.009166667
0,0.023333333
0,0.028333333
0,0.023333333
0,0.011666667
0,0.0125
0,0.024166667
0,0.021666667
0,0.019166667
0,0.024166667
0,0.024166667
0,0.019166667
0,0.0175
0,0.021666667
0,0.024166667
0,0.0075
0,0.0175
0,0.023333333
0,0.0175
1,0.03
1,0.02
1,0.020833333
1,0.02
1,0.01
1,0.010833333
1,0.04
1,0.02
1,0.01
1,0.005833333
1,0.01
1,0.016666667
1,0.03
1,0.005833333
1,0.02
1,0.02
1,0.008333333
1,0.00
1,0.02
1,0.02
1,0.02
1,0.023333333
1,0.016666667
1,0.01
1,0.011666667
1,0.01
1,0.013333333
1,0.010833333
1,0.00
1,0.01
