algorithm,AUROC,AUROC_low,AUROC_high,AUPRC,AUPRC_low,AUPRC_high
Molphase,0.9083333333333333,0.8249861111111111,0.9722222222222222,0.913938404994797,0.840584413081495,0.9708733251339388
Fuzdrop,0.8966666666666666,0.8088611111111111,0.9622222222222222,0.8996520702132339,0.8259713233875887,0.9628033739629135
DeePhase,0.866111111111111,0.7644444444444444,0.9522222222222222,0.8884764207389254,0.8075415242243996,0.9581623803023623
PSPHunter,0.7911111111111112,0.6611111111111111,0.9011111111111111,0.8233965112312467,0.7069414796823069,0.9265260342283749
PICNIC,0.6744444444444445,0.528888888888889,0.8077777777777777,0.6696040484077705,0.55402663789823,0.8058260054223976
PSPire,0.59,0.4444444444444444,0.7333611111111108,0.5627498806997956,0.4724842560338353,0.7292926815583748
Phaseek,0.5822222222222223,0.4310833333333333,0.7322222222222222,0.6055851656702567,0.4925099475060968,0.7666658870492743
PSAP,0.2944444444444445,0.16220833333333332,0.4366666666666667,0.48320942638328324,0.3978655416489766,0.5884908954608243
LLPhyScore,0.25611111111111107,0.12555555555555556,0.40113888888888843,0.4827336571688168,0.3772600391590399,0.5965740738635851
