true_label,prediction_score
0,0.16990069
0,0.17272066
0,0.31692696
0,0.6819569
0,0.6056191
0,0.5385103
0,0.5100096
0,0.9002384
0,0.98420507
0,0.7241746
0,0.022777949
0,0.48999143
0,0.2616735
0,0.93046725
0,0.5230576
0,0.010510551
0,0.48343372
0,0.1375122
0,0.82319194
0,0.5375205
0,0.807979
0,0.15545432
0,0.018798005
0,0.91858673
0,0.24127325
0,0.77281284
0,0.36340457
0,0.2746082
0,0.10077123
0,0.1559722
0,0.6118298
0,0.9879216
0,0.98547447
0,0.22761802
0,0.3100746
0,0.79674935
0,0.26865005
0,0.001050139
0,0.96914166
0,0.05097703
0,0.9682992
0,0.57926893
0,0.8413986
0,0.65982115
0,0.18410334
0,0.23076065
0,0.8050758
0,0.5332831
0,0.17901392
0,0.5991088
0,0.08992705
0,0.29863712
0,0.5898966
0,0.37531132
0,0.62925947
0,0.0928903
0,0.837852
0,0.072116084
0,0.031073377
0,0.95778817
0,0.64996475
0,0.023789935
0,0.84109056
0,0.030343149
0,0.9277732
0,0.4207223
0,0.13018447
0,0.18938379
0,0.6588719
0,0.7191485
0,0.9088794
0,0.5671847
0,0.20911899
0,0.2764854
0,0.8408844
0,0.18681677
0,0.61972666
0,0.033776037
0,0.8580362
0,0.7091872
0,0.006413457
0,0.67609614
0,0.60082805
0,0.6838248
0,0.69578123
0,0.9947044
0,0.024630126
0,0.6011359
0,0.8220979
0,0.020850241
0,0.7809121
0,0.4307104
0,0.003513723
0,0.45040053
0,0.23188546
0,0.6329777
0,0.8507121
0,0.49776703
1,0.60744166
1,0.39389417
1,0.3016837
1,0.31821066
1,0.5682648
1,0.99524754
1,0.7203086
1,0.15311396
1,0.23615082
1,0.028830701
1,0.33437264
1,0.99247724
1,0.69972014
1,0.45083803
1,0.9879421
1,0.9944393
1,0.9912988
1,0.99756324
1,0.060592473
1,0.5187146
1,0.9894228
1,0.030615818
1,0.99017924
1,0.5109261
1,0.8499929
1,0.8415281
1,0.9926095
1,0.8856168
1,0.9542942
1,0.96951425
1,0.35568932
1,0.976659
1,0.16605483
1,0.99238265
1,0.001115568
1,0.99327946
1,0.70973575
1,0.95623815
1,0.92505896
1,0.99485743
1,0.6852374
1,0.8201548
1,0.76629555
1,0.93968046
1,0.99351484
1,0.98655826
1,0.91925555
1,0.6298033
1,0.9897092
1,0.9985868
1,0.80023795
1,0.99908936
1,0.26450342
1,0.9921544
1,0.86847067
1,0.9711828
1,0.96414775
1,0.8002496
1,0.87479734
1,0.08192067
1,0.95542765
1,0.99651307
1,0.99773824
1,0.96932775
1,0.9953163
1,0.921298
1,0.9915258
1,0.9920831
1,0.93944645
1,0.9973151
1,0.997625
1,0.9749093
1,0.12330367
1,0.99383163
1,0.16456747
1,0.9960946
1,0.08493574
1,0.2800886
1,0.99946517
1,0.91725194
1,0.9981144
1,0.40232986
1,0.5454501
1,0.9895849
1,0.80512655
1,0.4206354
1,0.3088639
1,0.46294707
1,0.9262411
1,0.061369263
1,0.9972863
1,0.9907548
1,0.9193727
1,0.85435706
1,0.76198053
1,0.9934071
1,0.99416274
1,0.9935487
1,0.059315156
