true_label,prediction_score
0,0.014166667
0,0.029166667
0,0.014166667
0,0.014166667
0,0.010833333
0,0.020833333
0,0.015
0,0.015833333
0,0.029166667
0,0.016666667
0,0.010833333
0,0.010833333
0,0.008333333
0,0.013333333
0,0.014166667
0,0.01
0,0.02
0,0.024166667
0,0.0175
0,0.026666667
0,0.025833333
0,0.015833333
0,0.015833333
0,0.003333333
0,0.030833333
0,0.02
0,0.02
0,0.015833333
0,0.025833333
0,0.030833333
0,0.035
0,0.014166667
0,0.0325
0,0.010833333
0,0.030833333
0,0.016666667
0,0.01
0,0.020833333
0,0.009166667
0,0.025
0,0.010833333
0,0.028333333
0,0.0175
0,0.023333333
0,0.024166667
0,0.0375
0,0.038333333
0,0.005833333
0,0.03
0,0.008333333
0,0.026666667
0,0.01
0,0.0225
0,0.009166667
0,0.015833333
0,0.0225
0,0.045
0,0.0175
0,0.018333333
0,0.014166667
0,0.008333333
0,0.025833333
0,0.029166667
0,0.0175
0,0.01
0,0.025833333
0,0.021666667
0,0.0175
0,0.013333333
0,0.020833333
0,0.0025
0,0.005
0,0.02
0,0.050833333
0,0.014166667
0,0.010833333
0,0.023333333
0,0.0325
0,0.058333333
0,0.0125
0,0.001666667
0,0.021666667
0,0.016666667
0,0.015833333
0,0.021666667
0,0.026666667
0,0.020833333
0,0.015833333
0,0.034166667
0,0.019166667
0,0.02
0,0.0075
0,0.005833333
0,0.013333333
0,0.030833333
0,0.015
0,0.0125
0,0.011666667
0,0.018333333
0,0.016666667
1,0.02
1,0.02
1,0.025833333
1,0.01
1,0.02
1,0.015833333
1,0.02
1,0.01
1,0.018333333
1,0.028333333
1,0.02
1,0.018333333
1,0.01
1,0.018333333
1,0.02
1,0.010833333
1,0.028333333
1,0.03
1,0.02
1,0.01
1,0.02
1,0.016666667
1,0.010833333
1,0.015833333
1,0.024166667
1,0.01
1,0.019166667
1,0.016666667
1,0.01
1,0.03
1,0.010833333
1,0.00
1,0.018333333
1,0.01
1,0.01
1,0.018333333
1,0.023333333
1,0.03
1,0.013333333
1,0.020833333
1,0.011666667
1,0.020833333
1,0.02
1,0.013333333
1,0.02
1,0.024166667
1,0.010833333
1,0.00
1,0.019166667
1,0.023333333
1,0.015833333
1,0.02
1,0.01
1,0.02
1,0.01
1,0.03
1,0.02
1,0.01
1,0.05
1,0.015833333
1,0.02
1,0.020833333
1,0.023333333
1,0.02
1,0.01
1,0.01
1,0.021666667
1,0.011666667
1,0.015833333
1,0.015833333
1,0.07
1,0.02
1,0.016666667
1,0.030833333
1,0.016666667
1,0.02
1,0.014166667
1,0.013333333
1,0.02
1,0.019166667
1,0.030833333
1,0.021666667
1,0.01
1,0.015833333
1,0.02
1,0.021666667
1,0.02
1,0.010833333
1,0.014166667
1,0.02
1,0.02
1,0.016666667
1,0.02
1,0.01
1,0.03
1,0.013333333
1,0.020833333
1,0.02
1,0.015833333
1,0.010833333
