true_label,prediction_score
0,0.755631913
0,0.273924864
0,0.83380661
0,0.512032303
0,0.573070822
0,0.711068028
0,0.711025492
0,0.686296879
0,0.612482792
0,0.889741292
0,0.784704128
0,0.799606365
0,0.37327426
0,0.624598354
0,0.586661152
0,0.643183832
0,0.748531612
0,0.608885124
0,0.08861554
0,0.471543181
0,0.597233789
0,0.687532781
0,0.914168854
0,0.528695813
0,0.70278629
0,0.672823685
0,0.605222146
0,0.656595978
0,0.787427708
0,0.394879981
0,0.8223076
0,0.563208117
0,0.68530272
0,0.701948511
0,0.369856593
0,0.744995871
0,0.87029528
0,0.842487713
0,0.654872949
0,0.783467553
0,0.714260342
0,0.383250911
0,0.706048988
0,0.823106898
0,0.632786284
0,0.182922194
0,0.751092532
0,0.577264676
0,0.706725076
0,0.589506847
0,0.6624001
0,0.377244858
0,0.573751185
0,0.788672153
0,0.566481592
0,0.690454807
0,0.583021351
0,0.747288859
0,0.49710552
0,0.821406994
0,0.434622632
0,0.123664771
0,0.826636077
0,0.377221791
0,0.738688372
0,0.338291664
0,0.416049474
0,0.856710128
0,0.700422489
0,0.365489586
0,0.72119667
0,0.255101015
0,0.466871129
0,0.596385774
0,0.727815303
0,0.23232945
0,0.677230654
0,0.713053363
0,0.378461216
0,0.741604114
0,0.507238118
0,0.702416801
0,0.345663203
0,0.797511085
0,0.708744226
0,0.383386617
0,0.753205351
0,0.696730727
0,0.68700947
0,0.521915467
0,0.615380019
0,0.662168957
0,0.711284578
0,0.18494282
0,0.664849321
0,0.351721688
0,0.719001499
0,0.905942604
1,0.696134808
1,0.713626269
1,0.369035597
1,0.892313597
1,0.735605389
1,0.932451935
1,0.805764202
1,0.906621578
1,0.599719305
1,0.539646029
1,0.666999883
1,0.852106367
1,0.507574876
1,0.570764648
1,0.537113752
1,0.916553466
1,0.797198874
1,0.464649512
1,0.896809556
1,0.780630692
1,0.63216271
1,0.525419172
1,0.864064148
1,0.777888278
1,0.735977261
1,0.854682918
1,0.804504413
1,0.860247573
1,0.604331807
1,0.938925346
1,0.889330875
1,0.932442436
1,0.876044903
1,0.531534582
1,0.61211665
1,0.758309923
1,0.767985301
1,0.809254491
1,0.888767919
1,0.759104203
1,0.799127176
1,0.897649804
1,0.723686987
1,0.897434155
1,0.656442461
1,0.50433551
1,0.607972404
1,0.469980585
1,0.653203951
1,0.909714748
1,0.811653293
1,0.648091181
1,0.807869232
1,0.768350286
1,0.510866676
1,0.427684641
1,0.886674671
1,0.40109992
1,0.84610752
1,0.804802835
1,0.7853995
1,0.586622358
1,0.825959321
1,0.616699528
1,0.882809911
1,0.679616098
1,0.71200912
1,0.561392287
1,0.534028221
1,0.748790542
1,0.865038336
1,0.760563404
1,0.360145162
1,0.760005989
1,0.502955138
1,0.748056918
1,0.795224489
1,0.576180293
1,0.393734935
1,0.955128507
1,0.634987976
1,0.826431753
1,0.559259164
1,0.568554816
1,0.896330175
1,0.690158398
1,0.636811643
1,0.716826145
1,0.76365087
1,0.941941285
1,0.930160779
1,0.798145825
1,0.853682811
1,0.924953775
1,0.921950911
1,0.918844191
1,0.586101928
1,0.825668232
1,0.681617943
